title,created,created_year_month,profile_visits,impressions,follows,accounts_reached,saves,likes,comments,shares
": @bebadass.in 
: @wesnetaustralia 
something to keep in mind as we head into back-to-school and into the red-zone  
enough with the double standards already (see: treatment of chanel miller vs treatment of brock turner) 
            ",2022-08-15T10:45:51,2022-08,40,5628,10,5423,89,474,12,143
": @sitwithwhit 
or even i believe you or doing your best to listen without judgment or advice 
             ",2022-08-14T18:30:09,2022-08,20,2072,0,1902,64,217,2,55
": @happystrokes.in 
: @namicommunicate 
does this mean you shouldnt follow accounts that help you grow in positive ways? no.
does this mean you shouldnt follow accounts that push you out of your comfort zone? also no. 
after all, theres no growth in the comfort zone and no comfort in the growth zone, right??
however, if you find yourself moving into the danger zone (i.e., where growth cant happen because of the amount of stress you are experiencing), it may be time to take a break from accounts that overload your nervous systemincluding this one if that is the case for you
again, stress and growth are not bad things; neither is following people who have different perspectives and life experiences than yours. in fact, these are often very good things. 
once you are able to start addressing the alarm bells going off in your brain, consider refollowing the accounts that you unfollowed or muted
what do you do to practice social media self care?
              ",2022-08-14T13:53:44,2022-08,7,944,2,875,10,64,4,14
"ever wonder what enthusiastic consent could look like? think of an enthusiastic response to a marriage proposal (i said yes!!)
in other words, whether its a marriage proposal or asking sexual consent, you need a very clear yes before preceding
         ",2022-08-13T21:23:06,2022-08,5,766,0,716,5,83,1,6
": @nazty.designs 
: @plannedparenthood 
q: which of the above responses actually mean keep asking ? 
a: none. they all mean no.
       ",2022-08-13T14:22:38,2022-08,4,667,0,607,6,55,0,4
"obviously 
on a more serious notewe commonly think of u.s. womens voting rights being granted in 1920. however, the nineteenth amendment only enabled white women to vote; women of color couldnt vote until the mid 20th century:
black women couldnt actually voteparticularly in the southuntil the voting rights act of 1965 was passed
latina women were not able to reasonably vote until 1975
asian women werent allowed to vote until the 1950s
indigenous women were also barred from voting until the late 50s
this does not mean that women being able to legally vote made it so there were never any more obstacles or that they were treated fairly. this is far from the truth, particularly for black, latina, asian, indigenous, and other women of color
but lets remember that mainstream feminism has been long centered the rights of *white* women; not the rights of *all* women
        ",2022-08-13T10:49:16,2022-08,8,2127,4,1910,28,213,9,45
": @sheisrecovering 
: @trevorproject 
youand you aloneare the expert on your experience, your trauma, and your pain 
       ",2022-08-12T23:53:24,2022-08,9,507,2,456,5,50,2,3
"someone being a nice guy does not mean they arent a violent and abusive husband or partner or father or brother at home
them being a nice guy in public just means they are good at maintaining a double life
rememberpeople are most likely to be abused by someone they know; not a stranger with a puppy in a van or a pervert in a dark alleyway 
this doesnt mean that these things dont ever happen, but we need to move away from the idea that people we may know as nice guys may not be like that at home 
       ",2022-08-12T18:46:50,2022-08,12,1164,0,1063,16,93,9,11
": @safe_bae 
im normally a fan of recycling  but this is a hard pass 
also, lets not forget that the vast majority of school shootings are committed by teenage boys and that most sexual assaults is committed by men (regardless of the victims gender)
lets stop saying things like boys dont cry when boys show emotions that arent considered masculine and things like boys will be boys when they harass or assault people
we cant continue to ask why things like school shootings happen when we constantly perpetuate these harmful gender stereotypes that send messages of entitlement and callousness
we can do better. we have to.
**note: obviously, men and boys can be and are abused; this needs to be addressed, as well. there is room for all victims in these discussions. 
       ",2022-08-12T15:34:49,2022-08,39,4068,0,3630,67,493,15,238
": @every2min 
no  keep asking until i give in out of frustration (which isnt consent, btw)
drop a  below if you agree!
      ",2022-08-12T11:38:08,2022-08,5,868,2,794,4,75,0,20
": @thefroggyclub 
who makes you feel safe? tag  them!
**note: i know that not everyone has a safe space or a safe person; my heart breaks for you  if you are interested in therapeutic and/emotional support resources please see my bio. sending love 
        ",2022-08-11T13:04:34,2022-08,10,1155,0,1043,9,71,3,19
": @naturalcycles 
 but seriously, obgyns should absolutely be asking your consent before inviting others into the exam room
source: @acog_org 
      ",2022-08-11T10:52:28,2022-08,3,656,0,619,4,41,4,8
": @every2min 
a blurb from the iconic speech that @aoc gave in 2020 
side note: on top of this, women throughout history have not been exactly respected by their husbands (or men in general)to severely understate it
in a disturbingly recent example, it wasnt until 1993 (the same year that many millennials were born) that marital rape was outlawed in all 50 u.s. states
so, having a wife and/or a daughter does not mean that a man respects womenrespecting women means that he respects women 
as always, thank you to the male allies reading this 
     ",2022-08-10T22:18:05,2022-08,13,2706,0,2525,29,173,8,32
": @drsprankle 
you weirdos  but really though, comprehensive sex ed is important for so many reasonsincluding informed decision making, later sexual debut, and lower rates of sexual violence
so, regardless of whether a student is waiting til marriage to have sex, this is information that will benefit them now as well as once they are sexually active
     ",2022-08-09T20:35:27,2022-08,30,1937,12,1772,40,233,3,84
": @mtmvsupport 
 trigger warning: sexual assault
survivors  aren't  @google 
if you are looking for credible information on sexual assault, start with the @cdc , @who , @rainn and @nsvrc (all linked @ the )
what resources would you add for those wanting to know more about sa? 
      ",2022-08-09T15:12:51,2022-08,1,747,0,686,8,64,3,4
": @thisisfeministbro 
creepy and unnecessary, isn't it? 
       ",2022-08-08T22:00:55,2022-08,5,2783,2,2605,31,199,2,26
": @paveinfo 
: mention of sexual violence 
when you say its just a joke or its locker room talk, you are also implicitly saying that its acceptable, normal, and even funny to talk about and treat women like objects.
if its not all men, its still *some* men and any at all is too many
male allies, i see you. thank you for actively fighting rape culture 
**note: sexual violence happens to people of all genders. in this particular post, i am referring to the experiences that most women have with rape culture.
            ",2022-08-08T15:57:13,2022-08,11,2028,0,1777,68,180,9,81
": sexual violence & suicide 
: @end_sexual.violence 
no one should ever be blamed for taking their own life, especially when we live in a world that is often safer for perpetrators than it is for victims
      ",2022-08-08T11:56:21,2022-08,23,1612,0,1480,28,150,7,29
": @drjuliehanks 
forgiving  forgetting
forgiving  continuing the relationship
forgiving  forgiving how or when someone else thinks you should
i love the idea that forgiveness is about you and your healing journey; not about excusing abuse or victim-blaming
      ",2022-08-07T15:11:47,2022-08,8,852,2,803,10,41,2,8
"partners of men who are complaining of blue balls should not feel compelled to help out if they don't want to. . . any drastic rumors you may have heard  like that blue balls can make your balls fall off or cause cancer  are not true
[while] blue balls can be uncomfortable and frustratingit's not a cause for medical concern unless your erection lasts more than four hours
so, here is even more evidence that blue balls  having consent, my dudes
**see  for the full article
       ",2022-08-06T18:29:48,2022-08,32,2091,6,1915,33,197,15,43
"and if your doctor believes/doesn't shame you, and if your partner doesn't commit birth control sabotage and...
see why we need birth control to be over-the-counter (and accessible--not locked up like condoms sometimes are), rather than requiring a prescription?
      ",2022-08-06T16:01:37,2022-08,6,833,2,772,4,52,0,11
": @rainn 
normalize *not* saying its just a joke or lighten up in response to someone objecting to behavior that harms them or others
it is never just a joke, because it wouldnt be funny if someone didnt think the premise was acceptable or amusing
likewise, saying lighten up implies that the person objecting to the offensive behavior is the one who needs to change; not the culture that deems said behavior as funny or permissible 
to those who speak up, thank you for having the courage to disrupt cultural norms 
**note: this does not include people who make unnecessary and racist police reports on people minding their own business
if you want to step up but arent sure how, check out @ihavetherightto_ for some great tips on being an active bystander
        ",2022-08-06T11:12:20,2022-08,24,3107,4,2859,99,317,5,112
": @drsprankle 
okay right?? nothing about this weird phrase has ever made sense to me.
let's normalize not making other people responsible for our own thoughts and actions
       ",2022-08-05T15:23:38,2022-08,14,1940,0,1799,35,163,6,43
": @ihavetherightto_ 
this! child abuse victims are much more likely to be victimized by someone they know (and even trust, in some cases)
if your child is telling you that uncle so-and-so (or any other person, regardless of gender), listen to them!
just because someone is family or a friend does not mean they are a good or safe person
lets spend more time teaching kids to speak up if anyone is making them uncomfortable; not just strangers offering them candy
while abuse at the hands of strangers absolutely does happen and is very serious, we must also adopt this same attitude about people we know who make our child(ren) feel unsafe
    ",2022-08-05T12:51:25,2022-08,15,1157,6,1081,11,126,6,37
": @mtmvcommunity 
**tw: rape**
 your experience is valid 
it doesn't matter what you were wearing or what you were doing or what you were drinking
it doesn't matter if the perpetrator was a partner or a ""friend"", as opposed to a stranger lurking in a parking garage
it doesn't matter if they ""only"" attempted to victimize or ""only"" did something non-penetrative
it doesn't matter if it happened a long time ago or if someone else ""has it worse""
the consequences of sa and rape are still very serious and can last for a long time, regardless of the specifics of your experience and whether they are seen as ""valid""
your pain is valid. your healing is valid. you are valid ",2022-08-04T19:25:37,2022-08,11,2785,0,2573,49,159,0,18
"**tw: sa and rape**
men don't always want sex
men can say ""no""
men can be aroused without wanting sex
men can be sexually assaulted and/or raped
teach everyone to ask for consent and to respect the answer they get...the first time
**note: the fact that this post focuses on the experiences of male-identifying survivors does not detract from or negate the sa experiences of survivors of other genders. trauma shouldn't be a competition; there is room for all ",2022-08-04T15:44:41,2022-08,69,1613,10,1533,53,258,7,98
"**tw: rape**
: @mtmvcommunity 
rape culture is 80% of sa being perpetrated by someone known the victim
rape culture is the vast majority of perps walking free
rape culture is convicted perps getting a slap on the wrist
rape culture is saying that real rape happens in a dark alley by a stranger with a weapon
rape culture is the perp being innocent until proven guilty but the victim/survivor being guilty until proven innocent
rape culture is retraumatizing victims/survivors who report and prosecute and then asking why victims dont come forward
rape culture is telling people they need to dress or act a certain way to avoid rape, rather than actively telling people not to rape
rape culture is most rapes going unreported because of victim concerns of being blamed, punished, etc.
rape culture is blaming the victim
not all men. but enough.
      ",2022-08-04T11:14:51,2022-08,10,1373,0,1279,33,175,5,35
": @kerrylifecoach 
: @bayareaadvocates
**tw: death, trauma**
this! some survivors have expressed frustration with statements like i dont know how you survived!
here are some trauma-informed statements you might say instead, if appropriate:
-that sounds so difficult
-im sorry to hear you went through that
-thank you for telling me
-thanks for your vulnerability
whats the most validating thing someone has said to you?
        ",2022-08-03T17:47:57,2022-08,6,934,2,860,25,108,5,31
": @getcliterate 
like i am a little chef 
how would you respond to this tweet?? 
         ",2022-08-03T13:20:47,2022-08,11,1812,0,1688,12,124,4,42
": @weareungirls 
: @vulvanation_ 
unfortunately, this is often the case between reproductive coercion, birth control sabotage, stealthing, and other forms of sexual violence
it's because of issues like this that we cannot simply tell vagina-owners ""just don't have sex"" or ""just use birth control"" if they want to avoid pregnancy
let's instead start holding men accountable for the unwanted or unplanned pregnancies that they create, rather than shaming vagina-owners for men's choices made without their consent
          ",2022-08-03T08:16:41,2022-08,40,2552,8,2360,21,130,17,13
": @missrepresentation 
oof  although this could potentially be a good opportunity to talk to your kids about periods? 
has this ever happened to you?? how did you handle it?
         ",2022-08-02T22:31:26,2022-08,2,929,0,901,4,52,4,5
": @thechristiansexeducator 
problems with the myth that a hymen  = virginity (or lack thereof):
this ""indicator"" of virginity is only relevant to vagina-owners, and therefore reinforces the cisheteronormative double standard that women who have sex are ""sluts"" while men who have sex are ""studs"" 
hymens can be stretched through activities/experiences other than sex, such as horseback riding, gymnastics, or even simply inserting a tampon during one's period
as of now, there is no known function for the hymen (some medical professionals suspect it may be for keeping bacteria and other hazards out of the vagina but no one knows for sure)
the idea that a hymen ""breaks"" the first time someone has vaginal sex can reinforce that it's ""normal"" for sex to be painful
while this *can* be the case, sex should generally* not be painful; if you are experiencing pain, talk to a trusted medical professional to see if it covers your entire vaginal canal
**note: if you have experienced rape and need medical attention, contact a sexual assault nurse examiner (see the  for more info)
source: @clevelandclinic
          ",2022-08-02T12:07:37,2022-08,14,1434,6,1290,13,81,11,7
" @mytherapistsays 
tbh, it actually is generally harder to achieve emotional intimacy rather than physical (sexual) intimacy
let's normalize making emotional safety as much of a priority as sexuality is in many relationships
           ",2022-08-01T15:27:36,2022-08,14,1117,0,1026,11,94,1,37
": @drjuliehanks 
pov: if we tell people how they should choose to dress, people can also choose what they do with their thoughts and choose not to assault people
thank you for coming to my 
             ",2022-08-01T12:20:44,2022-08,5,871,2,804,6,64,2,32
": @mtmvcommunity 
denormalize offering unsolicited advice on what a sa survivor should have done, particularly at this point in time when its become known that freeze and fawn common reactions to trauma
it doesnt matter if they obviously should have screamed, kicked, runno one asks to be assaulted and i am fairly certain that survivors would have done those things if theyd been able to
survivors, your experience is valid. you did the best you could and i see you 
      ",2022-07-31T18:11:46,2022-07,13,1014,4,901,25,108,3,19
": @drlauriemintz 
if were* asking for anything, its to respect us and to please stop offering unsolicited opinions and judgment on everything we do
*were = im (i dont speak for all women)
         ",2022-10-01T14:43:26,2022-10,5,929,0,884,18,173,4,34
"**tw: sa & rape**
one misconception surrounding hpv (human papilloma virus) vaccines for teensparticularly within many religious communitiesis that it condones sexual activity during adolescence 
however, according to the @mayoclinic , research has [suggested] that receiving the vaccine at a young age isn't [generally associated with] an earlier start of sexual activity
also, as hard as it is to think about, you dont know whether your child will have sex forced on them through sexual assault; the last thing a sa victim needs on top of this trauma is worrying about the risk of hpv
even if your child is *not* victimized, its likely that they will one day become sexually active
also, even if your child is committed to only having sex within marriage, there is (unfortunately) the chance that their spouse will be unfaithful and end up exposing them to hpv as a result; again, the last thing they would need on top of dealing with infidelity would be worrying about potential hpv exposure
the vaccine is also is generally more effective in fighting this sti when administered at younger ages rather than in adulthood and *prior* to any exposure to hpv
hpv vaccines have also been associated with the prevention of various types of cancer
some other things to note about the hpv vaccine:
does not replace the need for a pap smear
not recommended if you are pregnant or are moderately to severely ill
may not be suitable for people with allergies to yeast or latex 
**note: this is not medical advice and i am not a healthcare professional  this information comes from the @mayoclinic 
check out my stories for more information from the @mayoclinic 
             ",2022-10-01T10:17:39,2022-10,4,1125,0,1028,15,145,5,8
": @drlauriemintz
: @drsprankle 
""imagine being a doofus"" 
additional thoughts: this is not to say that the purpose comprehensive sex ed is to teach minors that they should walk out of sex ed and immediately go engage in the behaviors discussed in class
rather, the idea is that kids and teens should a) receive accurate and age-appropriate sex ed at every age (even just using the correct terminology for body parts and teaching consent) so that b) they can make informed choices when/if the time comes that they *do* engage in sexual behaviors
finally, even if you expect your teen to be abstinent* until marriage, two things (at least) are critical for this to happen: 
1 they need the tools to navigate consent conversations, which is an integral part of comprehensive sex ed
2 *your kid* needs to be committed to this and understand why it's important; in the end, they have autonomy 
*note: this does not refer to sexual assault -- if your child experiences sa, it is absolutely not their fault, regardless of what was happening leading up to their victimization
want to learn more about how to talk to your kids about sex? check out a better way to teach kids about sex by drs. laura padilla, dean busby, chelom leavitt, and jason carroll
               ",2022-09-30T10:08:33,2022-09,4,931,2,872,14,127,4,26
"research suggests that there are not three but *four* common (and usually unconscious) responses to immediate danger
here are some possible examples:
 fight: essentially confronting the person attacking you (physically, verbally, etc.)
 flight: putting distance between yourself and the perpetrator, the relationship, etc.
 freeze: also known as ""tonic immobility"" ; being unable to move, as a result of sensing danger
 fawn: trying to get or stay in the perpetrator's ""good graces"", so as to avoid additional harm
note: there is no ""right way"" to respond to trauma. if you have experienced trauma, you are valid. period.
for more information from @healthline on these 4 common responses to trauma, check out the link in my bio
         ",2022-09-29T21:30:16,2022-09,1,705,0,640,12,68,4,10
": @lalalaletmeexplain 
**tw: violence, ipv, abuse, etc.**
all men? no. enough men? yes.
""we are polite in part because we know that if we make men mad, things might get very violent, very fast.....could a woman also pester and pressure a man into sex? yes. but in most cases, that woman isnt going to have six inches and 50 pounds of muscle on that man.""
[find the full @harpersbazaarus article at the link in my bio]
note: this does not negate that rape can *and does* happen to men at an alarming rate. if you are a man who has experienced sa, your experience is valid.
        ",2022-09-29T10:50:12,2022-09,21,2296,4,2207,40,270,6,71
"@nate_postlethwait does it again 
its easier to tell someone what youve done when it wasnt you that had to live through it 
lets channel the shade we often throw at victims/survivors to the person/people/systems who victimized them in the first place  victims are doing the best they can 
    
     ",2022-09-28T09:16:08,2022-09,1,605,0,544,6,87,2,12
"think like a researcher!
boost  your critical thinking skills  no matter what the topic 
with these great tips from @who and @unitednations 
once you determine the origin of the information youre looking at, be sure to also evaluate the credentials and motives of the organization or person providing the information
also, dont be fooled by fancy titles  just because someone has a phd doesnt mean that the information is reputable or empirical in nature (ive come across a peer-reviewed article that had wikipedia as a cited source )
in terms of reputable orgs on sexual health and sexual violence, here are some good ones to start with:
 @cdc
 @who 
@rainn
@metoomvmt 
@nsvrc
@guttmacherinstitute 
@plannedparenthood 
@hartford_healthcare 
also, here are some of my favorite ig influencers to get post ideas and/or info about sexual health, safety, and education (in no particular order):
@drlauriemintz 
@thechristiansexeducator 
@vaginarehabdoctor 
@nate_postlethwait 
@drjuliehanks 
@drsprankle 
@consent.labs
@the_title_ix_guy 
@mtmvcommunity 
@dmba_stories 
@maxi.radcliffe 
@niceforwhatmvmt 
tag  your favorite sexual health and safety influencers or organizations that i missed! 
      ",2022-09-27T21:52:57,2022-09,2,378,0,340,2,22,0,0
": @unwomen 
**tw: violence/murder
if you havent yet read about the horrific murder of  , theres a link to a recent news article at the link in my bio
it doesnt matter what she (or anyone) was or wasnt wearing or why she made that choice
what *does* matter is that we understand that it is *her* choice and everyone deserves that autonomy
instead of trying to micromanage others, lets focus on how *we* treat others, particularly those who are hurting and/or marginalized
        ",2022-09-27T11:40:47,2022-09,13,2639,0,2319,17,158,0,58
": @every2min 
: @gabunion 
wait what? are we really labeling *walking into a room* as consent or asking for it?? 
it was true in bathshebas time (see my previous post) and its true now: when someone gets sexually assaulted, the *only* person in the wrong is the perpetrator. thats it. 
most, if not all, other perspectives on this ignore the impact that unequal power dynamics and levels of autonomy have when it comes to interactions between the perp and the victim/survivor
       ",2022-09-25T20:06:40,2022-09,3,1422,0,1316,12,78,0,19
"**tw: sexual assault & rape**
did you know? according to the njk version of the bible*, it only states that *david* was on the roof; it does not state that bathsheba was bathing on the roof  contrary to what that leonard cohen (hallelujah) song implies: 
2 samuel 11: 2-3: and it came to pass in an eveningtide, that david arose from off his bed, and walked upon the roof of the kings house: and from the roof he saw a woman washing herself; and the woman was very beautiful to look upon.
and david sent and inquired after the woman. and one said, is not this bath-sheba, the daughter of eliam, the wife of uriah the hittite?
while its true that these verses dont specify where exactly bathsheba was bathing herself, the verses do tell us that david creepily checking bathsheba out from his roof
not only that, david also sent for bathsheba (a summons i suspect she couldnt refuse, he being the king) and sexually assaulted her
while it *could* be true that bathsheba was bathing on the roof of her house, we (to my knowledge) have no evidence of anything other than david lusting after and raping her
in other words, bathsheba was *not* asking for it regardless of where she was bathing  no one asks for it. ever. 
also, seeing as consent is to be freely-given, i suspect that bathsheba was *not* likely to have been in a position to say no (particularly since david obviously controlled where her husband was placed in battle)
so, instead of (potentially) viewing bathsheba as possibly contributing to what happened to her, lets more explicitly acknowledge that a) it was most likely *david* who went out of his way to make poor choices and abused his power as king and b) bathsheba is most likely a victim-survivor of sexual assault who did nothing to""ask for it.""
*see link in bio for full chapter and a relevant magazine article (if you read it, take it with a grain of salt)
               ",2022-09-25T13:02:21,2022-09,109,3359,24,3140,47,250,24,41
"if you wanna be my lover, you gotta get my consent 
seriously, though, asking for consent and engaging in communication about sexual wants and needs before having sex is an absolute requirement
           ",2022-09-24T10:40:07,2022-09,2,1584,0,1462,17,142,2,14
"i love that he doesnt even correctly spell the sti he is teaching about  tag a friend who would appreciate this meme  
tbh, this really is not that far off from the sex ed i got in both middle and high school  in other words, the focus was pretty much only on sti prevention without any education on anything else
anyone else relate?
         ",2022-09-23T15:59:05,2022-09,3,487,0,466,2,17,3,0
"so silly  

also, happy first friday of fall, yall! what is your favorite thing to do in fall??  comment below
         ",2022-09-23T10:51:52,2022-09,14,1704,0,1578,16,194,1,47
": @ku_sapec hit the nail on the head
this also holds true for other rape myths like, ""she was wearing a short skirt -- what did she expect?""
she expected to have to maybe tug the skirt down a few times when it rode up
that said, it's worth noting that women, in particular, are often calculating the odds of being sexually assaulted in various situations, and yet sa statistics are still through the roof
in other words, the problem is not women; the problem is the culture that blames them
             ",2022-09-22T20:12:34,2022-09,4,518,0,480,4,39,0,6
": @bebadass.in 
remember, if someone ghosts you after you set a boundary with them, that does not mean that you shouldnt have set that boundary!
this is definitely easier said than done but i hope the insight provided by this tweet makes setting boundaries a bit easier 
side note: sometimes the hardest person to maintain our boundaries with is ourselves! if this is you, dont beat yourself up  its normal to have to work at it. youre doing okay! 
           ",2022-09-22T09:30:38,2022-09,8,1930,0,1794,34,203,6,24
"learn to take a compliment! dudes, its not a compliment if you wouldnt say it to, for example, a male co-worker whom you respect 
cat-calling is sexual harassment; not a compliment  also it is v. creepy so please just dont 
       ",2022-09-21T13:09:58,2022-09,20,7557,2,7536,76,527,0,77
"we know that  is fries  (as per @plannedparenthood)
meet taco pac  or the ideal qualities(in my opinion, anyways) of a solid sex education curriculum 
hit save  to refer to this later and hit send  to share taco pac 
         ",2022-09-20T18:12:27,2022-09,7,1027,2,948,23,124,0,34
"**tw: sexual coercion
this is not normal! is it common? unfortunately, yes.  but that doesnt mean it should be normalized  no one is owed sex, just because they are married/dating/etc. to their partner 
in fact, when someone makes it difficult to say no to sex, this can often lead to something called unwanted consensual sex
this refers to when someone does not want to engage in sexual activity but they agree to it because they are afraid of what will happen if they say no
this is also known as sexual coercion or, more plainly, sexual assault (rape, if its penetrative in any way)
so, theres another reason to never ever victim-blame: their circumstances were likely much more complex than you would think
as always, remember that a relationship  consent 
             ",2022-09-20T10:52:47,2022-09,9,2168,0,2077,25,200,8,13
"getting married but don't know what (if any) birth control is a good match? long-time birth control user looking for a better fit? just trying to get your periods and/or acne under control?
regardless of your circumstances, check out this great infographic sponsored by @bayerofficial in conjunction with @usaid @women_deliver and many other health organizations
**disclaimer: i am not a healthcare provider and this is not official medical advice. talk to your doctor or another healthcare professional before using any of these options
        ",2022-09-19T15:22:01,2022-09,4,532,2,504,2,21,0,2
" : @drlauriemintz 
listen to the person  not their genitals  and what they are actually communicating about their consent (or lack thereof) 
contrary to what movies, tv shows, and porn portray
 vaginal lubrication is not consent
 erections are not consent 
as explained by @enagoski in her book come as you are (check out the link in my bio for more info), genital response is simply an acknowledgement that there are circumstances that could potentially become a sexual encounter  with consent, of course 
as per @plannedparenthood consent is 
 freely-given
 revokable
 informed 
 enthusiastic 
 specific 
      ",2022-09-19T10:25:11,2022-09,30,3743,0,3510,44,291,4,26
"closing out this sunday with one of the sweetest quotes youll ever see  
survivors, you are not alone and it is not your fault. period.
if you are struggling for any reason, know that you are not alone. if you need emotional support, check out the resources in my bio 
            ",2022-09-18T20:54:20,2022-09,4,667,0,642,4,20,0,0
"to be clear, you so do not need to be a sex wizard  before you get married
however, even youth who are committed to abstaining from sex until marriage need to be taught basic skills such as consent, boundaries, and respect, all of which are likely to be covered in a comprehensive sex education class; these skills are likely not covered in the porn that has become a primary sex educator for teens*
if teens and young people are not receiving ongoing comprehensive sex ed at school and/or from parents in a positive, accurate, and age-appropriate way, its very possible that young people will be going into marriages and/or sexual relationships believing that violence is a normal part of sex, that consent doesnt matter, and that sex needs to revolve around male pleasure
dont let** porn be your kids sex educator!
*its not just teen boys who are viewing or engaging with porn; teens of all genders can and do access it on a regular basis (this includes things like romance novels)
**while it may be nearly impossible to keep your kid from seeing porn, having age-appropriate, accurate, and positive conversations about sex can help them to understand that porn is not a realistic depiction of sex
this is especially important given that the adolescent brain is not structured to process pornography the way that adult brains do
            ",2022-09-18T12:29:45,2022-09,32,2539,8,2494,22,190,11,47
"check out this darling  art from @courtneyahndesign 
like  share  or save  if youre celebrating  and/or learned something new!
           ",2022-09-17T10:11:17,2022-09,8,1071,0,1034,7,76,0,27
"another great example of male allyship, this time from @billablog 
lets talk dialectics for a second: it can be true that not all men harass, assault, undermine, or otherwise abuse women and be true that many, many women are abused and/or consistently calculate the odds of being abused within a given situation
in other words, the fact that not all men treat women this way does not negate the constant vigilance that many women must maintain
ironically, the very act of saying not all men is a form of harassment, as it implies that discussing violence against women is an invalid argument since not every man abuses women
however, saying not all men is typically more often exacerbates the situation, rather than improves it
so, men, please use the power that we dont have to help enact change among your peers: call out rape jokes, sexual harassment, speak up when you see a buddy repeatedly buying drinks for someone
if youre not sure how best to intervene, check out the interruptions highlight on my bio
**note: this post focuses on male violence towards women. however, this does not mean that men cant be victimized; male victimization is *very* common (see @1in6org for more details)
also, when discussing violence against women, the focus is generally on white cis women rather than also including bipoc women of various racialized minority groups, and trans women. we can and must expand the conversation to include these groups
if you are a survivor of sexual assault and a member of a minoritized group (including sexual minority groups), check out my bio for survivor resources 
       ",2022-09-16T09:25:35,2022-09,11,1128,0,1049,21,144,0,37
"so pleased to share the interview i did with the knoxville branch of @voyagelamag over the summer  if youd like to learn more about me and my work, you can find it at the link in my bio 
thanks to all of you for your support 
also special thanks  to ms. camila sanchez for the invitation to interview, to my brother-in-law @tiki_480 for suggesting i start an ig account, and to my cute husband @dbluhm_ for being my unofficial editor and official best friend 
: @dbluhm
          ",2022-09-15T14:41:01,2022-09,10,576,0,531,0,22,4,2
"@drsprankle has a point 
check out the link in my bio for an @npr article explaining why teaching kids age-appropriate, accurate, comprehensive sex education is beneficial for their development, for learning to be a good and respectful human, and for their future relationships
         ",2022-09-15T11:10:26,2022-09,11,1167,0,1090,17,141,2,30
"absolutely loving this gorgeous example of a menstrual cycle by the talented @aly_illustrations 
check out her website @ the 
          ",2022-09-14T08:42:17,2022-09,6,963,2,925,7,42,2,0
"**tw: rape**
thank you, @andykhouri , for your allyship and wonderful tweet 
couple of thoughts:
1 this does not mean that men cant or arent raped; some research suggests that 1 in 6 men in the u.s. have experienced sexual assault (check out @1in6org for more info)
2 contrary to the implications of rape myths, many women are consistently calculating the risk of engaging in certain activities with certain people (e.g., attending a party alone, walking home at night, etc.); not plotting ways to lead men on 
3 also, lest the above example seem like an anomaly or an exaggeration, sexual assault is most commonly perpetrated by someone the victim is acquainted with (e.g., date rape)
                ",2022-09-13T20:04:09,2022-09,10,984,2,929,20,147,0,14
"check out this helpful infographic from @healthline on one particular category of birth control  larc (long-acting reversible contraception)  and their respective effectiveness rates 
note: in order for these to truly be reversible, we must do better at ensuring that larc users can also count on getting the contraceptive device *removed* when they need/want to
     ",2022-09-13T08:55:39,2022-09,3,696,0,664,4,40,0,4
"breaking news from @drlauriemintz 
also, if im not mistaken, i would say that
 a lot of this pressure comes from porn and from (some) other men
 desire* for a bigger penis is often more about proving ones masculinity to male peers than it is about female pleasure (for heterosexual** men)
 women dont universally want men with above average penises; for some women it can actually make vaginal sex physically uncomfortable 
 we need to do a better job at actually listening to what women respectively want; not what porn and other media make men *think* women want
note: if you ever arent sure what your partner wants, a) ask them and b) dont start trying to have sex until you know what they want 
*this does not mean that having anxiety about penis size or any other part of your body isnt real  your experience is valid! if you need emotional support, check out the highlights on my bio 
**this also doesnt mean that anxiety about penis size doesnt happen to sexual minority men
          ",2022-09-12T12:53:08,2022-09,13,1399,2,1288,19,145,2,20
"**tw: racism, xenophobia, islamophobia 
@crisistextline is here for you today and everyday 
along with remembering those who lost their lives on  , lets also remember how racism and islamophobia towards members of the muslim community (or those of middle eastern descent) surged after the attacks
as weve seen with the  and the hatred towards members of the asian community, this kind of xenophobia can and does still happen to this day
we can and must do better as a world and as human beings  
           ",2022-09-11T12:54:09,2022-09,2,1236,2,1173,5,58,0,10
"**tw: rape**
when we subscribe to the belief that rape is a crime of passion, that it only happens to young attractive women, or that people ask for it, we perpetuate generations of rape myths
as has been said in a post thats been going around, when people say that they raped someone at something (e.g., video games, ping pong, whatever), that is a violent allusion to having power over another person; not that they were so attracted to that person that they couldnt help themselves
likewise, when we are talking about aggravated assault and/or physical assault we dont generally say things like well how do we know they didnt want to get punched? or how do we know they didnt want a weapon pulled on them?
victim-blaming statements should sound just as ridiculous as statements like the ones above
the rape myths and rape culture has to stop with us; when we continue saying things like boys will be boys and well why was she out that late and this is going to ruin his life, we will continue to live in a society that perpetuates rape culture
its not enough to give out rape whistles or install more lights in parking lotswe must proactively teach everyone that everyone deserves respect and that sex should always be consensual and mutually fulfilling; not a means of overpowering another person
                  ",2022-09-10T16:28:07,2022-09,48,4449,4,4291,79,468,12,71
